net,length_um
net108,268.13µm
net109,249.98µm
net170,233.09µm
net141,222.82µm
net33,216.49µm
net71,198.99µm
net206,196.32µm
net134,195.35µm
net215,193.295µm
net225,191.49µm
net126,190.23µm
net197,189.44µm
net242,187.735µm
net232,186.465µm
net207,186.285µm
net183,186.07µm
net44,184.67µm
net247,182.935µm
_0410_,182.14µm
net124,181.27µm
net229,181.165µm
net227,180.825µm
net251,178.11µm
net145,177.88µm
net133,177.57µm
net248,176.88µm
net73,176.79µm
net128,176.59µm
_0260_,176.22µm
net231,175.045µm
net249,174.58µm
_0192_,173.96µm
net169,172.92µm
net228,172.58µm
net246,171.425µm
_0180_,170.97µm
net189,170.835µm
net153,170.79µm
net150,170.63µm
net84,169.98µm
net245,166.48µm
net131,166.01µm
net125,165.54µm
net132,163.49µm
net106,163.44µm
net147,161.585µm
net142,160.82µm
net149,159.595µm
_0207_,158.78µm
net230,157.305µm
net119,155.5µm
net115,154.43µm
net191,154.3µm
net8,153.06µm
net138,152.705µm
net148,151.34µm
net244,149.565µm
net72,149.16µm
net184,148.9µm
net95,148.82µm
net140,148.59µm
net122,148.54µm
net146,148.28µm
net171,147.84µm
net137,146.285µm
net161,145.5µm
net130,144.4µm
net172,143.97µm
net252,143.195µm
net121,142.11µm
net136,141.395µm
_0248_,140.81µm
net192,140.38µm
_0237_,139.785µm
_0058_,139.52µm
net166,138.81µm
net144,138.705µm
_0132_,138.67µm
net112,138.285µm
net116,137.495µm
net162,135.71µm
net57,134.74µm
net127,132.4µm
net105,131.66µm
net56,129.68µm
net129,129.14µm
net68,128.855µm
net239,127.12µm
net9,126.06µm
net114,123.99µm
net243,123.26µm
net233,123.135µm
_0168_,122.88µm
net107,122.8µm
net250,121.13µm
net238,120.66µm
net164,117.53µm
net159,116.96µm
net70,116.32µm
net180,115.48µm
net241,114.745µm
net257,113.69µm
_0197_,113.45µm
_0401_,113.36µm
net196,113.08µm
net237,112.985µm
_0110_,112.79µm
net118,111.82µm
_0465_,110.98µm
_0241_,110.86µm
net54,110.18µm
net143,110.02µm
net193,109.31µm
net165,107.705µm
net53,107.68µm
_0497_,106.42µm
net113,106.12µm
_0580_,105.56µm
_0956_,105.2µm
net154,105.2µm
net205,104.88µm
_0553_,104.76µm
net212,104.7µm
net111,104.4µm
net219,104.07µm
net202,103.62µm
_0432_,103.58µm
net135,103.23µm
net58,103.14µm
net224,103.02µm
net139,102.24µm
net65,102.2µm
net59,101.24µm
net182,101.08µm
