Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_53_321,VPWR,li1,153.4100,155.0400,1.799560
FILLER_53_312,VPWR,li1,150.4200,155.0400,1.799560
FILLER_53_307,VPWR,li1,146.9700,155.0400,1.799560
FILLER_53_301,VPWR,li1,145.3600,155.0400,1.799560
FILLER_53_297,VPWR,li1,142.3700,155.0400,1.799561
FILLER_53_291,VPWR,li1,140.7600,155.0400,1.799561
FILLER_53_284,VPWR,li1,137.0800,155.0400,1.799562
FILLER_53_277,VPWR,li1,133.6300,155.0400,1.799562
FILLER_53_271,VPWR,li1,130.6400,155.0400,1.799563
FILLER_53_264,VPWR,li1,127.8800,155.0400,1.799565
FILLER_53_253,VPWR,li1,122.8200,155.0400,1.799569
FILLER_53_235,VPWR,li1,113.8500,155.0400,1.799577
FILLER_53_207,VPWR,li1,100.9700,155.0400,1.799599
FILLER_53_191,VPWR,li1,93.8400,155.0400,1.799613
FILLER_53_182,VPWR,li1,90.6200,155.0400,1.799618
FILLER_53_151,VPWR,li1,76.3600,155.0400,1.799654
FILLER_53_110,VPWR,li1,56.5800,155.0400,1.799725
FILLER_53_105,VPWR,li1,54.0500,155.0400,1.799733
FILLER_53_91,VPWR,li1,47.6100,155.0400,1.799758
FILLER_53_85,VPWR,li1,45.3100,155.0400,1.799768
FILLER_53_81,VPWR,li1,43.4700,155.0400,1.799777
FILLER_53_76,VPWR,li1,40.9400,155.0400,1.799789
FILLER_53_71,VPWR,li1,38.4100,155.0400,1.799798
FILLER_53_67,VPWR,li1,36.5700,155.0400,1.799809
FILLER_53_61,VPWR,li1,34.9600,155.0400,1.799809
FILLER_53_57,VPWR,li1,31.9700,155.0400,1.799828
FILLER_53_55,VPWR,li1,31.0500,155.0400,1.799828
FILLER_53_51,VPWR,li1,29.9000,155.0400,1.799841
FILLER_53_47,VPWR,li1,27.3700,155.0400,1.799853
FILLER_53_41,VPWR,li1,25.7600,155.0400,1.799853
FILLER_53_32,VPWR,li1,21.6200,155.0400,1.799872
FILLER_53_27,VPWR,li1,18.1700,155.0400,1.799832
